Example drift concentration input file,Save in .csv format
Created by assuming drift is proportional to daily temperature
Date,Hour,DriftConc (g/m3)
10/1/1995,0,3.82E-10
10/1/1995,1,3.82E-10
10/1/1995,2,3.82E-10
10/1/1995,3,3.82E-10
10/1/1995,4,3.82E-10
10/1/1995,5,3.82E-10
10/1/1995,6,3.82E-10
10/1/1995,7,3.82E-10
10/1/1995,8,3.82E-10
10/1/1995,9,3.82E-10
10/1/1995,10,3.82E-10
10/1/1995,11,3.82E-10
10/1/1995,12,3.82E-10
10/1/1995,13,3.82E-10
10/1/1995,14,3.82E-10
10/1/1995,15,3.82E-10
10/1/1995,16,3.82E-10
10/1/1995,17,3.82E-10
10/1/1995,18,3.82E-10
10/1/1995,19,3.82E-10
10/1/1995,20,3.82E-10
10/1/1995,21,3.82E-10
10/1/1995,22,3.82E-10
10/1/1995,23,3.82E-10
10/2/1995,0,3.78E-10
10/2/1995,1,3.78E-10
10/2/1995,2,3.78E-10
10/2/1995,3,3.78E-10
10/2/1995,4,3.78E-10
10/2/1995,5,3.78E-10
10/2/1995,6,3.78E-10
10/2/1995,7,3.78E-10
10/2/1995,8,3.78E-10
10/2/1995,9,3.78E-10
10/2/1995,10,3.78E-10
10/2/1995,11,3.78E-10
10/2/1995,12,3.78E-10
10/2/1995,13,3.78E-10
10/2/1995,14,3.78E-10
10/2/1995,15,3.78E-10
10/2/1995,16,3.78E-10
10/2/1995,17,3.78E-10
10/2/1995,18,3.78E-10
10/2/1995,19,3.78E-10
10/2/1995,20,3.78E-10
10/2/1995,21,3.78E-10
10/2/1995,22,3.78E-10
10/2/1995,23,3.78E-10
10/3/1995,0,3.78E-10
10/3/1995,1,3.78E-10
10/3/1995,2,3.78E-10
10/3/1995,3,3.78E-10
10/3/1995,4,3.78E-10
10/3/1995,5,3.78E-10
10/3/1995,6,3.78E-10
10/3/1995,7,3.78E-10
10/3/1995,8,3.78E-10
10/3/1995,9,3.78E-10
10/3/1995,10,3.78E-10
10/3/1995,11,3.78E-10
10/3/1995,12,3.78E-10
10/3/1995,13,3.78E-10
10/3/1995,14,3.78E-10
10/3/1995,15,3.78E-10
10/3/1995,16,3.78E-10
10/3/1995,17,3.78E-10
10/3/1995,18,3.78E-10
10/3/1995,19,3.78E-10
10/3/1995,20,3.78E-10
10/3/1995,21,3.78E-10
10/3/1995,22,3.78E-10
10/3/1995,23,3.78E-10
10/4/1995,0,3.76E-10
