Little Hole final habitat variables file,,,,
SFR,6/12/2009 20:50,,,
CellNumber,FracShelt,DistHide,FracSpawn,FracHide
1,0.2,0.5,0,0.2
2,0.2,0.5,0,0.2
3,0.4,0.2,0,0.6
4,0.02,10,0,0.01
5,0.01,15,0,0
6,0.01,5,0,0.01
7,0.01,5,0,0.01
8,0.05,2.1,0,0.02
9,0.05,2.1,0,0.02
10,0.05,2.1,0,0.02
11,0.05,2.1,0,0.02
12,0.05,2.1,0,0.02
13,0.05,0.3,0,0.7
14,0.05,0.3,0,0.7
15,0.05,0.3,0,0.7
16,0.05,0.3,0,0.7
17,0.2,0.5,0,0.2
18,0.2,0.5,0,0.2
19,0.2,0.5,0,0.2
20,0.2,0.5,0,0.2
21,0.02,5,0,0.01
22,0.05,4.02,0,0.01
23,0.05,2.1,0,0.02
24,0.1,1.5,0,0.02
25,0.05,2.1,0,0.02
26,0.05,2.1,0,0.02
27,0.05,2.1,0,0.02
28,0.05,2.1,0,0.02
29,0.05,2.1,0,0.02
30,0,2,0,0.05
31,0.05,0.3,0,0.7
32,0,2,0,0.05
33,0,2,0,0.05
34,0,2,0,0.05
35,0.2,0.5,0,0.2
36,0.2,0.5,0,0.2
37,0.2,0.5,0,0.2
38,0.2,0.5,0,0.2
39,0.2,0.5,0,0.2
40,0.2,0.5,0,0.2
41,0.2,0.5,0,0.2
42,0.05,10,0,0.01
43,0.02,5,0,0.01
44,0.02,5,0,0.01
45,0.1,1.5,0,0.02
46,0.05,2.1,0,0.02
47,0.05,2.1,0,0.02
48,0.01,4.02,0,0.01
49,0,2,0,0.05
50,0,2,0,0.05
51,0,2,0,0.05
52,0,0.5,0,0.1
53,0,2,0,0.05
54,0.2,0.5,0,0.2
55,0.2,0.5,0,0.2
56,0.2,0.5,0,0.2
57,0.2,0.5,0,0.2
58,0.05,10,0,0.01
59,0.2,0.5,0,0.2
60,0.04,2,0,0.02
61,0.05,10,0,0.01
62,0.04,2,0,0.02
63,0.01,4.02,0,0.01
64,0.01,4.02,0,0.01
65,0,0.5,0,0.1
66,0,0.5,0,0.1
67,0.05,1.5,0,0.02
68,0,0.5,0,0.1
69,0,0.5,0,0.1
70,0,0.5,0,0.1
71,0,0.5,0,0.1
72,0.2,0.5,0,0.2
73,0.2,0.5,0,0.2
74,0.2,0.5,0,0.2
75,0.4,0.2,0,0.6
76,0.4,0.2,0,0.6
77,0.04,2,0,0.02
78,0.04,2,0,0.02
79,0.04,2,0,0.02
80,0.05,1.5,0,0.02
81,0,0.25,0,0.2
82,0,0.25,0,0.2
83,0,0.25,0,0.2
84,0.05,1.5,0,0.02
85,0,0.25,0,0.2
86,0.05,1.5,0,0.02
87,0,0.25,0,0.2
88,0,0.5,0,0.1
89,0.2,0.5,0,0.2
90,0.2,0.5,0,0.2
91,0.2,0.5,0,0.2
92,0.05,10,0,0.01
93,0.2,0.5,0,0.2
94,0.05,10,0,0.01
95,0.05,10,0,0.01
96,0.05,10,0,0.01
97,0.4,0.2,0,0.6
98,0.05,10,0,0.01
99,0,0.25,0,0.2
100,0,0.25,0,0.2
101,0.05,1.5,0,0.02
102,0,0.25,0,0.2
103,0,0.25,0,0.2
104,0,0.25,0,0.2
105,0.05,1.5,0,0.02
106,0.05,1.5,0,0.02
107,0.05,1.5,0,0.02
108,0.05,1.5,0,0.02
109,0,0.25,0,0.2
110,0.2,0.5,0,0.2
111,0.2,0.5,0,0.2
112,0.2,0.5,0,0.2
113,0.2,0.5,0,0.2
114,0.4,0.2,0,0.6
115,0.4,0.2,0,0.6
116,0.05,10,0,0.01
117,0.4,0.2,0,0.6
118,0,0.25,0,0.2
119,0,0.25,0,0.2
120,0,0.25,0,0.2
121,0.05,1.5,0,0.02
122,0,0.25,0,0.2
123,0,0.25,0,0.2
124,0,0.25,0,0.2
125,0.05,1.5,0,0.02
126,0.05,1.5,0,0.02
127,0.05,10,0,0.01
128,0.05,1.5,0,0.03
129,0.2,0.5,0,0.2
130,0.2,0.5,0,0.2
131,0.2,0.5,0,0.2
132,0.4,0.2,0,0.6
133,0.2,0.5,0,0.2
134,0.6,0.8,0,0.05
135,0.05,1.5,0,0.03
136,0.05,10,0,0.01
137,0,0.75,0,0.05
