Cell habitat variables for Tailrace site
Official input file, June 2008
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide
1,0.50,0.10,0.00,0.80
2,0.10,0.80,0.00,0.10
3,0.05,1.50,0.00,0.02
4,0.10,2.20,0.00,0.02
5,0.10,2.20,0.00,0.02
6,0.01,5.00,0.00,0.00
7,0.01,5.00,0.00,0.00
8,0.01,5.00,0.00,0.00
9,0.20,3.00,0.00,0.02
10,0.20,3.00,0.00,0.02
11,0.01,1.00,0.00,0.05
12,0.01,1.00,0.00,0.05
13,0.05,3.00,0.00,0.15
14,0.01,4.00,0.00,0.00
15,0.00,0.00,0.00,0.00
16,0.00,3.00,0.40,0.05
17,0.05,1.50,0.00,0.02
18,0.10,3.00,0.00,0.02
19,0.10,3.00,0.00,0.02
20,0.10,3.00,0.00,0.02
21,0.10,3.00,0.00,0.02
22,0.01,5.00,0.00,0.00
23,0.01,5.00,0.00,0.00
24,0.01,5.00,0.00,0.00
25,0.01,5.00,0.00,0.00
26,0.20,3.00,0.00,0.02
27,0.01,1.00,0.00,0.05
28,0.05,3.00,0.10,0.15
29,0.05,3.00,0.10,0.15
30,0.05,3.00,0.10,0.15
31,0.01,4.00,0.00,0.00
32,0.01,4.00,0.00,0.00
33,0.01,4.00,0.00,0.00
34,0.00,0.00,0.00,0.00
35,0.20,1.00,0.00,0.10
36,0.20,1.00,0.00,0.10
37,0.20,1.00,0.00,0.10
38,0.10,3.00,0.00,0.02
39,0.50,0.10,0.00,0.80
40,0.20,1.27,0.00,0.05
41,0.01,1.00,0.00,0.05
42,0.01,1.00,0.00,0.05
43,0.00,3.00,0.10,0.05
44,0.00,0.10,0.30,0.05
45,0.00,0.10,0.30,0.05
46,0.05,3.00,0.10,0.15
47,0.05,3.00,0.10,0.15
48,0.25,0.10,0.00,0.75
49,0.20,1.00,0.00,0.10
50,0.30,1.00,0.00,0.10
51,0.50,0.80,0.00,0.20
52,0.20,1.27,0.00,0.05
53,0.00,3.00,0.10,0.05
54,0.00,3.00,0.10,0.05
55,0.05,3.00,0.25,0.30
56,0.25,0.10,0.00,0.75
57,0.25,0.50,0.00,0.50
58,0.08,0.96,0.00,0.10
59,0.20,1.27,0.00,0.05
60,0.20,0.80,0.00,0.15
61,0.20,1.27,0.00,0.05
62,0.00,3.00,0.10,0.05
63,0.00,3.00,0.10,0.05
64,0.30,0.50,0.25,0.40
65,0.30,0.50,0.25,0.40
66,0.00,0.00,0.00,0.00
67,0.20,0.80,0.00,0.15
68,0.20,0.80,0.00,0.15
69,0.10,1.50,0.00,0.10
70,0.08,0.96,0.00,0.10
71,0.20,1.27,0.00,0.05
72,0.20,1.27,0.00,0.05
73,0.20,1.27,0.00,0.05
74,0.00,3.00,0.10,0.05
75,0.00,3.00,0.10,0.05
76,0.05,3.00,0.10,0.05
77,0.05,3.00,0.10,0.05
78,0.05,3.00,0.10,0.05
79,0.05,3.00,0.10,0.05
80,0.25,3.00,0.05,0.05
81,0.25,3.00,0.05,0.05
82,0.10,1.50,0.00,0.10
83,0.10,1.50,0.00,0.10
84,0.10,1.50,0.00,0.10
85,0.15,2.00,0.00,0.02
86,0.10,1.50,0.00,0.10
87,0.15,2.00,0.00,0.02
88,0.00,3.00,0.10,0.05
89,0.00,3.00,0.10,0.05
90,0.00,3.00,0.10,0.05
91,0.00,3.00,0.10,0.05
92,0.05,3.00,0.10,0.05
93,0.05,3.00,0.10,0.05
94,0.10,2.00,0.25,0.05
95,0.10,2.00,0.25,0.05
96,0.00,0.00,0.00,0.00
97,0.50,0.30,0.00,0.20
98,0.15,1.50,0.00,0.05
99,0.30,1.40,0.00,0.03
100,0.30,1.40,0.00,0.03
101,0.00,3.00,0.10,0.05
102,0.00,3.00,0.10,0.05
103,0.05,4.00,0.10,0.05
104,0.10,2.00,0.25,0.05
105,0.20,0.10,0.00,0.75
106,0.10,2.00,0.25,0.05
107,0.00,0.00,0.00,0.00
108,0.15,1.50,0.00,0.05
109,0.15,1.50,0.00,0.05
110,0.30,1.40,0.00,0.03
111,0.30,1.40,0.00,0.03
112,0.30,1.40,0.00,0.03
113,0.00,3.00,0.10,0.05
114,0.05,4.00,0.10,0.05
115,0.05,4.00,0.10,0.05
116,0.20,0.10,0.00,0.75
117,0.00,0.00,0.00,0.00
118,0.10,3.00,0.10,0.05
119,0.00,0.00,0.00,0.00
120,0.02,2.00,0.00,0.02
121,0.02,2.00,0.00,0.02
122,0.02,2.00,0.00,0.02
123,0.02,2.00,0.00,0.02
124,0.50,0.30,0.00,0.20
125,0.30,0.86,0.00,0.15
126,0.00,3.00,0.10,0.05
127,0.10,3.00,0.10,0.05
128,0.20,1.00,0.00,0.10
129,0.20,0.10,0.00,0.75
130,0.20,1.00,0.00,0.10
131,0.30,0.50,0.00,0.25
132,0.30,0.50,0.00,0.25
133,0.30,0.50,0.00,0.25
134,0.60,0.20,0.00,0.30
135,0.60,0.20,0.00,0.30
136,0.25,1.20,0.00,0.05
137,0.30,0.86,0.00,0.15
138,0.30,0.86,0.00,0.15
139,0.30,0.50,0.00,0.25
140,0.30,0.50,0.00,0.25
141,0.30,0.50,0.00,0.25
142,0.20,0.10,0.00,0.75
143,0.00,0.00,0.00,0.00
144,0.30,0.50,0.00,0.25
145,0.01,3.75,0.00,0.01
146,0.01,2.00,0.00,0.10
147,0.01,2.00,0.00,0.10
148,0.10,0.20,0.00,0.60
149,0.01,2.00,0.00,0.10
150,0.30,0.86,0.00,0.15
151,0.30,0.86,0.00,0.15
152,0.30,0.86,0.00,0.15
153,0.30,0.86,0.00,0.15
154,0.30,0.10,0.00,0.40
155,0.10,0.20,0.00,0.10
156,0.10,0.20,0.00,0.10
157,0.01,3.75,0.00,0.01
158,0.01,3.75,0.00,0.01
159,0.01,2.00,0.00,0.10
160,0.01,0.10,0.00,0.80
161,0.10,1.27,0.00,0.05
162,0.10,1.27,0.00,0.05
163,0.10,1.27,0.00,0.05
164,0.10,1.27,0.00,0.05
165,0.30,0.86,0.00,0.15
166,0.30,0.86,0.00,0.15
167,0.30,0.86,0.00,0.15
168,0.01,3.75,0.00,0.01
169,0.50,0.10,0.00,0.50
170,0.00,0.00,0.00,0.00
171,0.00,0.00,0.00,0.00
172,0.01,3.75,0.00,0.01
173,0.50,0.10,0.00,0.50
174,0.01,3.75,0.00,0.01
175,0.05,2.50,0.00,0.02
176,0.10,1.27,0.00,0.05
177,0.10,1.27,0.00,0.05
178,0.10,1.27,0.00,0.05
179,0.10,1.27,0.00,0.05
180,0.10,1.27,0.00,0.05
181,0.30,0.86,0.00,0.15
182,0.30,0.86,0.00,0.15
183,0.30,0.86,0.00,0.15
184,0.30,0.86,0.00,0.15
185,0.50,0.10,0.00,0.50
186,0.10,0.20,0.00,0.10
187,0.10,0.20,0.00,0.10
188,0.10,0.20,0.00,0.10
189,0.01,3.75,0.00,0.01
190,0.50,0.10,0.00,0.50
191,0.01,3.75,0.00,0.01
192,0.05,2.50,0.00,0.02
193,0.02,1.00,0.00,0.05
194,0.10,1.27,0.00,0.05
195,0.05,2.50,0.00,0.02
196,0.10,1.27,0.00,0.05
197,0.10,1.27,0.00,0.05
198,0.10,1.27,0.00,0.05
199,0.30,0.86,0.00,0.15
200,0.30,0.86,0.00,0.15
201,0.01,3.75,0.00,0.01
202,0.01,3.75,0.00,0.01
203,0.50,0.10,0.00,0.50
204,0.50,0.50,0.00,0.50
205,0.05,0.50,0.00,0.05
206,0.00,0.00,0.00,0.00
207,0.50,0.50,0.00,0.50
208,0.50,0.50,0.00,0.50
209,0.50,0.50,0.00,0.50
210,0.02,1.00,0.00,0.05
211,0.00,3.00,0.50,0.00
212,0.00,3.00,0.50,0.00
213,0.00,3.00,0.50,0.00
214,0.10,1.27,0.00,0.05
215,0.10,1.27,0.00,0.05
216,0.10,1.27,0.00,0.05
217,0.10,1.27,0.00,0.05
218,0.10,1.27,0.00,0.05
219,0.30,0.86,0.00,0.15
220,0.30,0.86,0.00,0.15
221,0.50,0.50,0.00,0.50
222,0.50,0.50,0.00,0.50
223,0.05,0.50,0.00,0.05
224,0.50,0.50,0.00,0.50
225,0.05,2.00,0.00,0.05
226,0.50,0.50,0.00,0.50
227,0.40,0.20,0.00,0.50
228,0.00,2.00,0.00,0.02
229,0.00,2.00,0.00,0.02
230,0.00,2.00,0.00,0.02
231,0.00,3.00,0.50,0.00
232,0.20,0.80,0.00,0.10
233,0.10,1.27,0.00,0.05
234,0.50,0.50,0.00,0.50
235,0.50,0.50,0.00,0.50
236,0.30,0.86,0.00,0.15
237,0.50,0.50,0.00,0.50
238,0.50,0.50,0.00,0.50
239,0.50,0.50,0.00,0.50
240,0.50,0.50,0.00,0.50
241,0.15,0.40,0.00,0.05
242,0.50,1.00,0.00,0.30
243,0.50,0.50,0.00,0.50
244,0.10,0.20,0.00,0.50
245,0.50,0.50,0.00,0.50
246,0.50,1.00,0.00,0.05
247,0.50,1.00,0.00,0.05
248,0.20,0.80,0.00,0.10
249,0.20,0.80,0.00,0.10
250,0.20,0.80,0.00,0.10
251,0.20,0.80,0.00,0.10
252,0.20,0.80,0.00,0.10
253,0.20,0.80,0.00,0.10
254,0.50,0.50,0.00,0.50
255,0.50,0.50,0.00,0.50
256,0.50,0.50,0.00,0.50
257,0.10,0.20,0.00,0.50
258,0.00,0.00,0.00,0.00
259,0.10,0.20,0.00,0.50
260,0.10,0.20,0.00,0.50
261,0.10,0.20,0.00,0.50
262,0.10,0.20,0.00,0.50
263,0.10,0.20,0.00,0.50
264,0.10,0.20,0.00,0.50
265,0.10,0.20,0.00,0.50
266,0.10,0.20,0.00,0.50
267,0.20,1.20,0.00,0.02
268,0.20,1.20,0.00,0.02
269,0.20,0.80,0.00,0.10
270,0.20,1.20,0.00,0.02
271,0.20,0.80,0.00,0.10
272,0.20,0.80,0.00,0.10
273,0.20,0.80,0.00,0.10
274,0.20,0.80,0.00,0.10
275,0.20,0.80,0.00,0.10
276,0.20,0.80,0.00,0.10
277,0.10,0.20,0.00,0.50
278,0.20,0.80,0.00,0.10
279,0.20,0.80,0.00,0.10
280,0.20,0.80,0.00,0.10
