Hydraulic input for inSTREAM 5,"Tailrace site, Green River",,,,,,,,,,,,,,,,,,,,,,,
Created from 2008-09 inSTREAM-SD-2D code and input,SF Railsback 11/15/2012,,,,,,,,,,,,,,,,,,,,,,,
flows,17,,23,,30,,35,,40,,60,,70,,85,,100,,115,,130,,142,
CellNumber,Depth@17,Vel@17,Depth@23,Vel@23,Depth@30,Vel@30,Depth@35,Vel@35,Depth@40,Vel@40,Depth@60,Vel@60,Depth@70,Vel@70,Depth@85,Vel@85,Depth@100,Vel@100,Depth@115,Vel@115,Depth@130,Vel@130,Depth@142,Vel@142
1,0,0,0,0,0,0,0,0,0,0,3.9,5.2,6.9,7.2,11.6,9.4,16.2,11,20.6,11.3,26.6,36.1,26.6,36.1
2,0.1,2,2.1,4.7,5.4,11.1,7,14.3,9.6,17.6,26.5,34.4,32.3,39.8,41.4,46.9,50.2,52.4,58.8,52.1,62.1,69.3,62.1,69.3
3,11,3.7,12.7,29.3,19.8,38.3,23.2,44.2,28.4,49.4,54.6,65,63.4,72.8,76.8,83.3,89.9,91.4,103,89.4,110.2,105.3,110.2,105.3
4,49.3,38,51.2,72.8,62,86,67.3,95.4,75,102.4,106.8,114.6,115.3,124.1,128.5,137.4,141.2,147.6,154.3,147.3,162.9,154.7,162.9,154.7
5,76.5,90.7,77.9,121.8,88.9,134.5,94.2,145.2,101.8,150.6,132.1,154.3,140.5,164.8,153.6,178.9,166.3,189.2,179.5,193.3,189.2,202,189.2,202
6,76.8,103.2,78.7,125.8,89.3,141,94.7,151.8,102,157.5,131.5,159.3,140.1,169.8,153.4,183.9,166.2,193.9,179.2,199.3,188.3,212.1,188.3,212.1
7,76.6,106.6,80.9,132.1,91.5,146.6,97.3,157.7,104.7,163,133.2,163.4,141.8,173.9,154.9,187.8,167.4,197.8,180.6,204.8,190.8,217.1,190.8,217.1
8,76.1,95.2,81.8,118.8,91.4,133.6,97.4,144.1,104.4,149.5,132.6,153.4,141.4,163.9,154.8,177.8,167.5,188.4,180.3,195.9,191.2,208.6,191.2,208.6
9,68.6,91.4,76.2,115.1,85.4,130.2,91.5,140.8,98.4,146.9,125.9,152,134.7,162.2,147.8,175.6,160.3,185.9,173.3,194.8,184.4,207,184.4,207
10,61.4,78.7,69.9,99.8,77.1,114.2,83.1,124.6,89.8,131.3,118.4,140.8,127.3,151,140.4,164.2,153.1,175,166.2,184.8,177.7,197.2,177.7,197.2
11,58.2,76,66.8,96.8,73.5,111.6,79.4,122.1,85.7,128.3,116.8,140.2,126,150.8,139.6,164.1,152.7,175.3,165.7,185.3,177.9,197.6,177.9,197.6
12,45.2,86.7,54.5,111.2,60.4,130.1,66,142,72.2,149.6,101.7,169.9,110.3,182.5,123.3,196.7,135.6,209,148.5,222.2,160,233.5,160,233.5
13,18.8,42.2,23.8,54.9,26.2,64.9,28.9,71,33.2,75,65.4,156.9,74.3,171.6,87,186.2,99.5,201.1,112.9,218.6,124,226.1,124,226.1
14,0,0,0,0,0,0,0,0,1.8,0,24.5,91.7,30.5,102.1,38.9,111.7,47.4,122.6,56.7,136.2,63.8,138.8,63.8,138.8
15,0,0,0,0,0,0,0,0,1.8,0,15.7,24.2,19.5,27.9,24.4,30.7,29.5,35.1,35.5,41.1,39,40.5,39,40.5
16,0,0,0,0,0,0,0,0,1.8,0,15.7,24.2,19.5,27.9,24.4,30.7,29.5,35.1,35.5,41.1,39,40.5,39,40.5
17,11,1.7,10.6,24.6,14.4,27.2,16.2,29.8,18.8,31.8,32.1,35.7,38,40.2,47.1,45.8,55.9,50,64.7,48.7,74.8,72,74.8,72
18,9.7,13.9,10.4,38.4,16.4,42,19.1,45.7,23,48.3,37.3,44.3,41.5,48,47.9,53.4,54.1,57.7,62.6,46.8,74.5,80.9,74.5,80.9
19,25.4,39.8,29,81.7,40.9,87.7,46.4,95.4,54.2,100.4,82.2,98.9,90.4,107.2,103.1,119.2,115.3,128.8,129.4,114.1,142.6,116.2,142.6,116.2
20,52.7,42,56.3,90,67.7,96.9,73.1,105.5,80.8,110.8,109.1,116.2,117.4,125.5,130.1,138.5,142.4,148.5,156,148.9,169.1,139,169.1,139
21,62.6,62.6,68.3,96.2,79.9,101.3,85.3,109.7,93.1,114.4,121.3,124.7,129.5,134.8,142,149.1,154.2,160.2,167.7,162,181.5,149.9,181.5,149.9
22,103.9,86.1,108.3,116.7,120.7,119,126.2,128.5,134.2,132.2,162.7,144.4,171.2,154.5,184.1,168.1,196.7,178.5,209.7,182.9,222.5,181.8,222.5,181.8
23,79.7,110.1,82.6,147.1,94.4,150.9,99.6,162.2,107.4,165.6,137.2,168.5,145.5,179.3,158.3,193.3,170.8,203.3,184,208.7,195.5,213.4,195.5,213.4
24,66,136.3,69,168.7,79.8,173,84.9,185.1,92.7,187.8,122.7,187.8,130.9,198.6,143.7,212,156.2,221.5,169.2,228.8,180.5,236.7,180.5,236.7
25,58.7,124.6,62.7,155,72,166.7,77.3,178.3,84.6,181.9,114.3,180.3,122.6,191.1,135.5,204.7,147.9,214.6,160.9,221.6,171.6,233,171.6,233
26,57.1,111.4,63.1,139.1,71.5,152.2,77.1,163.4,84,168.1,112.8,171.5,121.2,182,134.1,195.1,146.6,205.2,159.5,213.5,170.5,225.2,170.5,225.2
27,34.2,113.8,39.6,144.4,47.7,158.5,52.8,170.4,59.7,175.3,88.5,193.3,96.6,205.8,109.3,219.4,121.5,230.7,134.2,242,145.4,252.4,145.4,252.4
28,9.9,76,13.3,98.1,21.6,139.3,26.9,147.1,34.4,154.8,61.5,197.6,69.4,215.2,81.9,232.6,94.2,247.1,106.6,262.4,118.2,271.7,118.2,271.7
29,3.6,31.5,9.8,40.8,9.7,79.9,15.3,114.9,22.5,127.6,46,184.1,53.6,206,66.1,227.5,78.2,244.9,90.3,263.7,102.1,273,102.1,273
30,2.7,23.6,7.1,30.6,4.9,36.2,7.5,62.7,10.7,68.8,31.9,188.2,39.1,210.2,51,232,62.5,250.2,74,270.1,85.5,279.5,85.5,279.5
31,0,0,0,0,0,0,0,0,0,0,12.9,124.2,17.5,139.6,25.1,154.8,32.6,167.5,39.9,181.6,47.5,187.7,47.5,187.7
32,0,0,0,0,0,0,0,0,0,0,4,56.8,6.4,65.4,10.6,73.8,14.7,80,18.7,86.6,22.8,89.4,22.8,89.4
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,16.8,3.4,26.6,7.4,28.7,9.3,31.1,11.9,32.6,25,31.7,30.7,35.2,39.4,39.7,47.8,43.3,58.5,30.3,69.9,80.4,69.9,80.4
36,10.9,31.2,13.8,47.3,22.2,50.5,26.1,54.2,31.5,56.4,53.9,50,62.6,54.4,75.9,60.2,88.7,65,101.2,45.3,113.2,80.5,113.2,80.5
37,42.3,52.5,46.8,76.6,59.3,80.4,65.1,86.2,73.3,89.3,101.4,82.6,110,88.5,123.1,97.3,135.7,104.6,148.5,88.7,161.6,104.2,161.6,104.2
38,35.3,60.4,41,87.9,53.1,92.2,58.6,99.6,66.5,104,94.5,107.4,102.6,116.5,115,129.8,127.1,140.5,141,127.2,155,127.2,155,127.2
39,0,0,0,0,0,0,0,0,0,0,3.5,3.1,6.4,4.1,11,5,15.4,5.4,22.2,8.9,33.5,57.5,33.5,57.5
40,123.9,66.4,129.1,87.7,141.6,93.2,147.6,100.8,155.7,104.1,183.7,114.9,192.4,122.8,205.8,133.8,218.6,142.6,231.2,145.6,244.3,148.6,244.3,148.6
41,81,103.9,84,127.7,98.9,132.3,104.7,142.9,113.1,146.6,141.8,170.8,150.4,182.1,163.7,194.9,176.5,204.9,189.6,214.4,202,219.3,202,219.3
42,50.5,137.2,52.7,172,65.8,174.4,71,186.1,79.1,187.7,108.7,197.1,116.9,208.4,129.7,221,142.2,230.5,155.2,238.8,167.1,245.9,167.1,245.9
43,106.2,66.6,111.5,79.4,124.6,89.5,130.8,99.4,139.1,105.8,167.5,137,176.6,147.7,190.3,160.5,203.5,170.7,216.4,181.6,229.1,186,229.1,186
44,19.6,64.9,21.1,80.4,35,118.9,41.1,125.8,49.8,133.4,77.2,177.6,85.6,193.6,98.8,209.7,111.6,222.5,124.5,236.1,136.8,243.6,136.8,243.6
45,16.3,29.4,21,32.8,33.5,65.7,39.8,74.6,48.4,85.7,76.7,126.7,85.9,141.5,100,158,113.6,171.2,127,186,139.8,193.4,139.8,193.4
46,0,0,4.1,0,8.9,29.5,15.6,59.8,24.5,73.1,51.2,111.5,60.5,128.6,75,148,88.8,163.3,102.7,179.8,115.7,188.1,115.7,188.1
47,0,0,2.6,0,1.5,3.4,6.2,39,12.1,48.1,33.3,129.1,41.9,149.1,55.8,170.6,69.2,187,82.5,204.5,95.4,212.8,95.4,212.8
48,0,0,0,0,1.1,2.6,3.1,6.1,5.4,9.1,16.7,54,21.3,62.8,28.5,72.7,35.5,80.5,42.5,88.7,49,92.8,49,92.8
49,8.9,14.4,10.5,20.7,14.8,21.8,16.8,23.1,19.6,23.8,32.4,21.5,38.3,23.3,47.5,25.5,56.3,27.1,64.9,23.9,76.8,57.6,76.8,57.6
50,26.6,17.4,29.2,24.3,35.6,25.9,38.7,27.5,42.9,28.2,56.7,23.4,61.3,24.6,68.2,26.6,74.7,28.5,81.7,24.5,94.2,38.6,94.2,38.6
51,67.4,38.4,72.6,53.4,85.4,56.7,91.6,60.2,99.9,61.7,127.5,54.5,136.5,57.5,150.2,62,163.3,66.6,175.1,58.2,188.1,64,188.1,64
52,135.7,53.4,140.9,71.1,153.7,76.4,159.8,82.5,168.1,84.8,196,92.5,204.9,98.3,218.6,106.2,231.7,112.9,243.9,114.2,256.8,119.3,256.8,119.3
53,111.9,63.2,117.3,77.5,129.8,82.4,136,91.7,144.3,98,172.6,127.1,181.6,137.7,195.4,150.6,208.6,160.7,221.1,172.1,233.7,177,233.7,177
54,17,30.7,21.9,35.4,34.5,49.5,40.8,62,49.3,73.6,78.4,107.7,87.7,122.2,101.7,139.8,115.2,153.7,128.3,170.1,140.9,178.6,140.9,178.6
55,0,0,2.2,0,10.6,22.5,17.2,38,26,51.8,55.8,80.3,65.6,94.5,80.1,114,94.1,129.7,107.8,147.2,120.7,157,120.7,157
56,0,0,0,0,2,9.8,5.4,17.9,9.8,24.9,24.8,38.3,29.8,44.7,37.2,54.2,44.3,61.9,51.3,70.4,57.8,75.2,57.8,75.2
57,28.9,11.8,32.9,16,41.5,17.8,45.8,18.9,51.4,19.4,69.8,17.9,75.9,18.8,85.3,20,94,23.7,102.4,20.4,114.3,23.1,114.3,23.1
58,58.8,21.3,64.7,28.5,77.6,31.2,84.1,33.2,92.5,33.8,120.3,31.8,129.5,33.5,143.5,34.4,156.8,36.8,168.8,32.4,180.6,31.5,180.6,31.5
59,90.7,30.7,96.5,40.3,109.3,43.7,115.7,46.4,124.1,47.2,151.9,46.2,161,48.8,174.8,51.1,188.2,52.6,200.3,47.6,212.6,47.7,212.6,47.7
60,2.4,2.9,4.4,4.3,8.8,5,11,5.4,13.8,5.6,23,5,26.1,5.2,30.9,5.1,36.9,8.6,45.2,8.4,56.8,17.8,56.8,17.8
61,141.7,46.9,147.3,60.3,160,64.8,166.4,69.9,174.8,72,202.6,81.4,211.8,86.2,225.6,92.1,239,96.8,251.2,97.5,263.7,101.2,263.7,101.2
62,117.7,63.6,122.8,77.3,135.6,80.5,141.9,89.3,150.2,95.3,178.1,122.9,187.2,131.8,201.1,143.6,214.4,152.4,226.9,162.8,239.3,169,239.3,169
63,24.4,33.6,27,39.2,40.5,59.4,46.7,71.3,55.1,82.8,83.3,120.9,92,133,105.3,153.1,118.3,168,130.6,186.3,142.8,196.5,142.8,196.5
